0000.000000 0000011A 8 3E 40 00 AA C0 00 00 BE
0000.000527 000001DA 8 01 00 00 00 00 01 00 90
0000.000819 000001DB 8 FF C0 BF AA 00 00 01 74
0000.001060 000001DC 8 35 01 2F FD 01 09 05 50
0000.005407 000001D4 8 F7 07 00 00 82 00 40 0E
0000.005652 000001F2 8 0C 64 00 00 00 0A 02 04
0000.005898 00000284 8 00 00 00 00 00 00 1D A3
0000.006098 0000050C 6 00 00 00 02 B2 0D  
0000.009794 00000380 8 02 04 10 21 00 00 00 27
0000.009999 000005BF 8 00 00 00 00 18 00 00 3B
0000.010521 000001DA 8 01 00 00 00 00 01 01 15
0000.010762 0000011A 8 3E 40 00 55 00 00 01 A8
0000.011008 000001DB 8 FF C0 BF AA 00 00 02 7E
0000.011248 000001DC 8 35 01 2F FD 05 60 C6 16
0000.015693 000001D4 8 F7 07 00 00 C2 00 40 C9
0000.015872 000001F2 8 0C 64 00 00 00 0A 03 05
0000.019748 00000380 8 03 04 20 21 00 00 00 3A
0000.020439 0000011A 8 3E 40 00 55 40 00 02 65
0000.020685 000001DA 8 01 00 00 00 00 01 02 1F
0000.020920 000001DB 8 FF C0 BF AA 00 00 03 FB
0000.021151 0000055A 8 13 27 27 00 5F 29 3A A8
0000.021391 000001DC 8 35 01 2F FD 08 C0 CF 47
0000.025897 000001D4 8 F7 07 00 00 02 00 40 05
0000.026143 000001F2 8 0C 64 00 00 00 0A 00 02
0000.026393 00000284 8 00 00 00 00 00 00 1E A4
0000.026598 0000050A 6 04 50 00 09 00 20  
0000.030520 000001DA 8 01 00 00 00 00 01 03 9A
0000.030766 0000011A 8 3E 40 00 AA 80 00 03 73
0000.031001 000001DB 8 FF A0 BF AA 00 00 00 02
0000.031247 000001DC 8 35 01 2F FD 0C C8 C8 13
0000.036080 000001D4 8 F7 07 00 00 42 00 40 C2
0000.036326 000001F2 8 0C 64 00 00 00 0A 01 03
0000.039941 0000011A 8 3E 40 00 AA C0 00 00 BE
0000.040525 000001DA 8 01 00 00 00 00 01 00 90
0000.040811 000001DB 8 FF C0 BF AA 00 00 01 74
0000.041047 000001DC 8 35 01 2F FD 01 09 05 50
0000.043561 0000056E 1 46       
0000.046341 000001D4 8 F7 07 00 00 82 00 40 0E
0000.046587 000001F2 8 0C 64 00 00 00 0A 02 04
0000.046832 00000284 8 00 00 00 00 00 00 1F A5
0000.047037 0000050B 6 00 00 04 C0 00 60  
0000.050519 000001DA 8 01 00 00 00 00 01 01 15
