0000.000000 000001DB 8 FF C0 BE 2A 00 00 01 3A
0000.000251 000001DC 8 3D C2 02 7D E1 09 05 31
0000.002821 000001DA 8 BF 00 18 00 00 01 02 54
0000.003257 000001D4 8 F7 07 00 04 C7 46 E0 A3
0000.003497 000001F2 8 30 64 20 00 00 82 03 0E
0000.010010 000001DB 8 FF C0 BE 2A 00 00 02 30
0000.010256 000001DC 8 3D C2 02 7D E5 60 C6 77
0000.012867 000001DA 8 BF 00 18 00 00 01 03 D1
0000.013497 000001D4 8 F7 07 00 04 07 46 E0 6F
0000.013737 000001F2 8 30 64 20 00 00 82 00 0B
0000.013947 0000050A 6 06 22 00 0D 00 00  
0000.020004 000001DB 8 FF C0 BE 2A 00 00 03 B5
0000.020255 000001DC 8 3D C2 02 7D E8 C0 CF 26
0000.022810 000001DA 8 BF 00 18 00 00 01 00 DB
0000.023045 0000055A 8 00 30 30 00 5F 31 5B 68
0000.023737 000001D4 8 F7 07 00 04 47 46 E0 A8
0000.023977 000001F2 8 30 64 20 00 00 82 01 0C
0000.030034 000001DB 8 FF C0 BE 2A 00 00 00 BF
0000.030280 000001DC 8 3D C2 02 7D EC C8 C8 72
0000.030900 00000380 8 12 04 18 00 50 05 10 8E
0000.031140 000005BF 8 00 66 31 75 80 00 00 14
0000.032814 000001DA 8 BF 00 18 00 00 01 01 5E
0000.034013 000001D4 8 F7 07 00 04 87 46 E0 64
0000.034258 000001F2 8 30 64 20 00 00 82 02 0D
0000.034468 0000050B 6 00 00 00 C0 00 00  
0000.038370 0000054A 8 10 00 70 02 00 00 00 29
0000.039368 0000054B 8 00 08 80 00 04 00 00 00
0000.040187 000001DB 8 FF E0 BE 2A 00 00 01 6B
0000.040438 0000054C 8 FF FF 00 00 00 F8 FF 00
0000.040669 000001DC 8 3D C2 02 7D E1 09 05 31
0000.040909 0000055B 8 76 00 AA 00 E1 40 12 59
0000.041375 0000054F 8 20 00 00 00 0B 80 0C 28
0000.042875 000001DA 8 BF 00 18 00 00 01 02 54
0000.044309 000001D4 8 F7 07 00 04 C7 46 E0 A3
0000.044549 000001F2 8 30 64 20 00 00 82 03 0E
0000.050018 000001DB 8 FF E0 BE 2A 00 00 02 61
0000.050269 000001DC 8 3D C2 02 7D E5 60 C6 77
0000.052808 000001DA 8 BF 00 18 00 00 01 03 D1
0000.054462 000001D4 8 F7 07 00 04 07 46 E0 6F
0000.054708 000001F2 8 30 64 20 00 00 82 00 0B
0000.060022 000001DB 8 FF E0 BE 2A 00 00 03 E4
0000.060263 000001DC 8 3D C2 02 7D E8 C0 CF 26
