0000.000000 000001DB 8 FD 80 BB 6A 00 00 00 AC
0000.000245 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.001111 0000011A 8 01 40 00 55 00 00 01 15
0000.004444 000001DA 8 BC 64 18 00 00 01 03 D3
0000.009426 000001D4 8 F7 07 00 00 07 46 00 7B
0000.009666 000001F2 8 10 64 00 00 00 1E 00 0C
0000.010219 000001DB 8 FD 80 BB 6A 00 00 01 29
0000.010460 000001DC 8 3D 81 9F FD 01 09 05 40
0000.010905 0000055B 8 8E C0 55 00 E1 C0 12 A5
0000.011146 0000011A 8 01 40 00 55 40 00 02 D8
0000.013271 0000054A 8 9E 00 70 06 24 00 00 2B
0000.014269 0000054B 8 00 48 98 12 1C 00 00 00
0000.014505 000001DA 8 BC 64 18 00 00 01 00 D9
0000.015257 0000054C 8 72 66 40 00 00 60 56 00
0000.016261 0000054F 8 2F 01 00 00 07 CF 8C 50
0000.019799 000001D4 8 F7 07 00 00 47 46 00 BC
0000.020034 000001DB 8 FD 80 BB 6A 00 00 02 23
0000.020280 000001F2 8 10 64 00 00 00 1E 01 0D
0000.020516 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.020761 00000284 8 00 00 00 00 00 00 D5 5B
0000.021115 0000011A 8 01 40 00 AA 80 00 03 CE
0000.024443 000001DA 8 BC 64 18 00 00 01 01 5C
0000.029926 000001D4 8 F7 07 00 00 87 46 00 70
0000.030167 000001DB 8 FD 80 BB 6A 00 00 03 A6
0000.030407 0000011A 8 01 40 00 AA C0 00 00 03
0000.030643 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.030884 000001F2 8 10 64 00 00 00 1E 02 0E
0000.031088 0000050C 6 00 00 00 01 B2 31  
0000.034442 000001DA 8 BC 64 18 00 00 01 02 56
0000.035543 0000056E 1 46       
0000.039966 000001DB 8 FD 80 BB 6A 00 00 00 AC
0000.040202 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.040437 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.040678 000001F2 8 10 64 00 00 00 1E 03 0F
0000.040924 00000284 8 00 00 00 00 00 00 D6 5C
0000.041159 0000011A 8 01 40 00 55 00 00 01 15
0000.044441 000001DA 8 BC 64 18 00 00 01 03 D3
0000.049971 000001DB 8 FD 80 BB 6A 00 00 01 29
0000.050227 000001DC 8 3D 81 9F FD 01 09 05 40
0000.050468 000001D4 8 F7 07 00 00 07 46 00 7B
0000.050713 000001F2 8 10 64 00 00 00 1E 00 0C
0000.050954 0000011A 8 01 40 00 55 40 00 02 D8
0000.051148 0000050A 6 85 32 A0 0E 80 20  
0000.054446 000001DA 8 BC 64 18 00 00 01 00 D9
0000.059960 000001DB 8 FD 60 BB 6A 00 00 02 11
0000.060216 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.060646 000001D4 8 F7 07 00 00 47 46 00 BC
0000.060892 000001F2 8 10 64 00 00 00 1E 01 0D
0000.061127 0000011A 8 01 40 00 AA 80 00 03 CE
0000.061373 00000284 8 00 00 00 00 00 00 D7 5D
0000.064435 000001DA 8 BC 64 18 00 00 01 01 5C
0000.069975 000001DB 8 FD 60 BB 6A 00 00 03 94
0000.070210 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.070456 0000011A 8 01 40 00 AA C0 00 00 03
0000.070891 000001D4 8 F7 07 00 00 87 46 00 70
0000.071137 000001F2 8 10 64 00 00 00 1E 02 0E
0000.071337 0000050B 6 00 00 06 C0 00 60  
0000.072458 00000380 8 02 04 10 21 00 00 00 B0
0000.072709 000005BF 8 00 00 00 00 28 00 00 09
0000.074439 000001DA 8 BC 64 18 00 00 01 02 56
0000.079974 000001DB 8 FD 60 BB 6A 00 00 00 9E
0000.080210 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.081131 0000011A 8 01 40 00 55 00 00 01 15
0000.081362 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.081607 000001F2 8 10 64 00 00 00 1E 03 0F
0000.081843 00000284 8 00 00 00 00 00 00 D8 5E
0000.084434 000001DA 8 BC 64 18 00 00 01 03 D3
0000.089968 000001DB 8 FD 60 BB 6A 00 00 01 1B
0000.090214 000001DC 8 3D 81 9F FD 01 09 05 40
0000.091079 0000011A 8 01 40 00 55 40 00 02 D8
0000.091371 000001D4 8 F7 07 00 00 07 46 00 7B
0000.091617 000001F2 8 10 64 00 00 00 1E 00 0C
0000.094433 000001DA 8 BC 64 18 00 00 01 00 D9
0000.094674 0000055A 8 00 30 2F 00 5F 30 5B 68
0000.099983 000001DB 8 FD 60 BB 6A 00 00 02 11
0000.100234 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.101135 0000011A 8 01 40 00 AA 80 00 03 CE
0000.101678 000001D4 8 F7 07 00 00 47 46 00 BC
0000.101883 000001F2 8 10 64 00 00 00 1E 01 0D
0000.102133 00000284 8 00 00 00 00 00 00 D9 5F
0000.104432 000001DA 8 BC 64 18 00 00 01 01 5C
0000.110131 000001DB 8 FD 60 BB 6A 00 00 03 94
0000.110377 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.110622 0000011A 8 01 40 00 AA C0 00 00 03
0000.110853 0000055B 8 8E C0 55 00 E1 C0 13 20
0000.111831 000001D4 8 F7 07 00 00 87 46 00 70
0000.112071 000001F2 8 10 64 00 00 00 1E 02 0E
0000.113367 0000054A 8 10 00 70 06 24 00 00 2B
0000.114340 0000054B 8 00 48 98 12 1C 00 00 00
0000.114585 000001DA 8 BC 64 18 00 00 01 02 56
0000.115343 0000054C 8 72 66 40 00 00 60 56 00
0000.116357 0000054F 8 2F 01 00 00 07 0F 8C 50
0000.119977 000001DB 8 FD 80 BB 6A 00 00 00 AC
0000.120217 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.121139 0000011A 8 01 40 00 55 00 00 01 15
0000.122245 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.122491 000001F2 8 10 64 00 00 00 1E 03 0F
0000.122736 00000284 8 00 00 00 00 00 00 DA 60
0000.124441 000001DA 8 BC 64 18 00 00 01 03 D3
0000.129976 000001DB 8 FD 80 BB 6A 00 00 01 29
0000.130217 000001DC 8 3D 81 9F FD 01 09 05 40
0000.131092 0000011A 8 01 40 00 55 40 00 02 D8
0000.132382 000001D4 8 F7 07 00 00 07 46 00 7B
0000.132623 000001F2 8 10 64 00 00 00 1E 00 0C
0000.132833 0000050C 6 00 00 00 02 B2 0D  
0000.134436 000001DA 8 BC 64 18 00 00 01 00 D9
0000.135608 0000056E 1 46       
0000.139970 000001DB 8 FD 80 BB 6A 00 00 02 23
0000.140226 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.141138 0000011A 8 01 40 00 AA 80 00 03 CE
0000.142597 000001D4 8 F7 07 00 00 47 46 00 BC
0000.142843 000001F2 8 10 64 00 00 00 1E 01 0D
0000.143088 00000284 8 00 00 00 00 00 00 DB 61
0000.144435 000001DA 8 BC 64 18 00 00 01 01 5C
0000.149970 000001DB 8 FD 80 BB 6A 00 00 03 A6
0000.150210 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.150451 0000011A 8 01 40 00 AA C0 00 00 03
0000.152857 000001D4 8 F7 07 00 00 87 46 00 70
0000.153103 000001F2 8 10 64 00 00 00 1E 02 0E
0000.153344 00000284 8 00 00 00 00 00 00 DC 62
0000.153548 0000050A 6 85 52 A0 0E 80 20  
0000.154439 000001DA 8 BC 64 18 00 00 01 02 56
0000.159974 000001DB 8 FD 80 BB 6A 00 00 00 AC
0000.160215 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.161147 0000011A 8 01 40 00 55 00 00 01 15
0000.163087 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.163323 000001F2 8 10 64 00 00 00 1E 03 0F
0000.164439 000001DA 8 BC 64 18 00 00 01 03 D3
0000.169973 000001DB 8 FD 80 BB 6A 00 00 01 29
0000.170219 000001DC 8 3D 81 9F FD 01 09 05 40
0000.171105 0000011A 8 01 40 00 55 40 00 02 D8
0000.172549 00000380 8 02 04 10 21 00 00 00 8D
0000.172795 000005BF 8 00 00 00 00 28 00 00 1A
0000.173342 000001D4 8 F7 07 00 00 07 46 00 7B
0000.173583 000001F2 8 10 64 00 00 00 1E 00 0C
0000.173829 00000284 8 00 00 00 00 00 00 DD 63
0000.174044 0000050B 6 00 00 06 C0 00 60  
0000.174428 000001DA 8 BC 64 18 00 00 01 00 D9
0000.179973 000001DB 8 FD 80 BB 6A 00 00 02 23
0000.180219 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.181150 0000011A 8 01 40 00 AA 80 00 03 CE
0000.183593 000001D4 8 F7 07 00 00 47 46 00 BC
0000.183833 000001F2 8 10 64 00 00 00 1E 01 0D
0000.184432 000001DA 8 BC 64 18 00 00 01 01 5C
0000.189957 000001DB 8 FD 80 BB 6A 00 00 03 A6
0000.190203 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.190438 0000011A 8 01 40 00 AA C0 00 00 03
0000.193822 000001D4 8 F7 07 00 00 87 46 00 70
0000.194063 000001F2 8 10 64 00 00 00 1E 02 0E
0000.194314 00000284 8 00 00 00 00 00 00 DE 64
0000.194549 000001DA 8 BC 64 18 00 00 01 02 56
0000.194790 0000055A 8 00 30 2F 00 5F 30 5B 68
0000.199966 000001DB 8 FD 80 BB 6A 00 00 00 AC
0000.200212 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.201159 0000011A 8 01 40 00 55 00 00 01 15
0000.204068 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.204313 000001F2 8 10 64 00 00 00 1E 03 0F
0000.204549 000001DA 8 BC 64 18 00 00 01 03 D3
0000.210150 000001DB 8 FD 80 BB 6A 00 00 01 29
0000.210406 000001DC 8 3D 81 9F FD 01 09 05 40
0000.210642 0000055B 8 8E C0 55 00 E1 C0 10 2A
0000.210882 0000011A 8 01 40 00 55 40 00 02 D8
0000.214359 000001D4 8 F7 07 00 00 07 46 00 7B
0000.214594 000001DA 8 BC 64 18 00 00 01 00 D9
0000.214840 000001F2 8 10 64 00 00 00 1E 00 0C
0000.215086 00000284 8 00 00 00 00 00 00 DF 65
0000.215326 0000054A 8 9E 00 70 06 24 00 00 2B
0000.216432 0000054B 8 00 48 98 12 1C 00 00 00
0000.217431 0000054C 8 72 66 40 00 00 60 56 00
0000.218450 0000054F 8 2F 01 00 00 07 4F 8C 50
0000.220318 000001DB 8 FD 80 BB 6A 00 00 02 23
0000.220569 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.220800 000005BC 8 31 52 CC 2D C8 46 40 D2
0000.221045 000005C0 8 C0 58 58 00 3A D0 00 00
0000.221281 0000011A 8 01 40 00 AA 80 00 03 CE
0000.224420 000001DA 8 BC 64 18 00 00 01 01 5C
0000.224665 000001D4 8 F7 07 00 00 47 46 00 BC
0000.224911 000001F2 8 10 64 00 00 00 1E 01 0D
0000.229954 000001DB 8 FD 80 BB 6A 00 00 03 A6
0000.230210 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.230451 0000011A 8 01 40 00 AA C0 00 00 03
0000.234419 000001DA 8 BC 64 18 00 00 01 02 56
0000.234823 000001D4 8 F7 07 00 00 87 46 00 70
0000.235069 000001F2 8 10 64 00 00 00 1E 02 0E
0000.235310 00000284 8 00 00 00 00 00 00 E0 66
0000.235515 0000050C 6 00 00 00 03 B2 9A  
0000.235632 0000056E 1 46       
0000.239964 000001DB 8 FD 80 BB 6A 00 00 00 AC
0000.240215 000001DC 8 3D 81 9F FD 0C C8 C8 03
0000.241167 0000011A 8 01 40 00 55 00 00 01 15
0000.244413 000001DA 8 BC 64 18 00 00 01 03 D3
0000.245038 000001D4 8 F7 07 00 00 C7 46 00 B7
0000.245278 000001F2 8 10 64 00 00 00 1E 03 0F
0000.245524 000005A9 8 60 17 C0 11 03 00 00 00
0000.249958 000001DB 8 FD 80 BB 6A 00 00 01 29
0000.250214 000001DC 8 3D 81 9F FD 01 09 05 40
0000.250875 0000011A 8 01 40 00 55 40 00 02 D8
0000.254418 000001DA 8 BC 64 18 00 00 01 00 D9
0000.255298 000001D4 8 F7 07 00 00 07 46 00 7B
0000.255539 000001F2 8 10 64 00 00 00 1E 00 0C
0000.255785 00000284 8 00 00 00 00 00 00 E1 67
0000.255984 0000050A 6 85 72 A0 0E 80 20  
0000.259957 000001DB 8 FD 80 BB 6A 00 00 02 23
0000.260219 000001DC 8 3D 81 9F FD 05 60 C6 06
0000.261171 0000011A 8 01 40 00 AA 80 00 03 CE
0000.264417 000001DA 8 BC 64 18 00 00 01 01 5C
0000.265513 000001D4 8 F7 07 00 00 47 46 00 BC
0000.265753 000001F2 8 10 64 00 00 00 1E 01 0D
0000.269957 000001DB 8 FD 80 BB 6A 00 00 03 A6
0000.270203 000001DC 8 3D 81 9F FD 08 C0 CF 57
0000.270443 0000011A 8 01 40 00 AA C0 00 00 03
0000.272681 00000380 8 02 04 10 21 00 00 00 9E
0000.272921 000005BF 8 00 00 00 00 28 00 00 2B
0000.274416 000001DA 8 BC 64 18 00 00 01 02 56
